WELDING,,,shop/weld2.png,shop/weld2.jpg,MIG Welded Staircase,STEEL,FALL 2012,,,
WELDING,,,shop/weld3.png,shop/weld3.jpg,MIG Welded Tree Frame,STEEL,SPRING 2012,,,
WELDING,M,,shop/weld4.png,shop/weld4.jpg,MIG Welded Tree Frame,STEEL,SPRING 2012,,,
WELDING,,,shop/weld5.png,shop/weld5.jpg,MIG Welded Light Box,STEEL,SPRING 2012,,,
WELDING,,,shop/weld6.png,shop/weld6.jpg,MIG Welded Light Box,STEEL,SPRING 2012,,,
WOOD,,,theater/chair1.png,theater/chair1.JPG,Completed Chair,WOOD,2009,,,
WOOD,,,theater/chair2.png,theater/chair2.JPG,Custom Piece for Chair,WOOD,2009,,,
WOOD,,,theater/chair3.png,theater/chair3.JPG,Custom Piece for Chair,WOOD,2009,,,
WOOD,,,theater/chair4.png,theater/chair4.JPG,Custom Piece for Chair,WOOD,2009,,,
MACBETH,M,,theater/mac0.png,theater/mac0.jpg,Finished Set with Sketchup Overlay,MACBETH LBT ,2009,,,
MACBETH,,,theater/mac1.png,theater/mac1.JPG,Work in Progress,MACBETH LBT ,2009,,,
MACBETH,M,,theater/mac2.png,theater/mac2.JPG,Work in Progress,MACBETH LBT ,2009,,,
MACBETH,,,theater/mac3.png,theater/mac3.JPG,Finished Detail,MACBETH LBT ,2009,,,
MACBETH,,,theater/mac4.png,theater/mac4.JPG,Road Signs Waiting to be Placed,MACBETH LBT ,2009,,,
MACBETH,D,,theater/mac5.png,theater/mac5.jpg,Poster Design 1,MACBETH LBT ,2009,,,
MACBETH,D,,theater/mac6.png,theater/mac6.jpg,Poster Design 2,MACBETH LBT ,2009,,,
MACBETH,D,,theater/mac7.png,theater/mac7.JPG,Sketchup Design for Macbeth,MACBETH LBT ,2009,,,
MACBETH,D,,theater/mac8.png,theater/mac8.gif,Poster Design 3,MACBETH LBT ,2009,,,
MACBETH,D,,theater/mac9.png,theater/mac9.jpg,Poster Design 4,MACBETH LBT ,2009,,,
STREETCAR,M,,theater/streetcar0.png,theater/streetcar0.gif,Sketchup Design for Streetcar,A STREETCAR NAMED DESIRE LBT,2009,,,
STREETCAR,M,,theater/streetcar1.png,theater/streetcar1.JPG,Finished Streetcar Detail,A STREETCAR NAMED DESIRE LBT,2009,,,
STREETCAR,D,,theater/streetcar2.png,theater/streetcar2.gif,Poster Design,A STREETCAR NAMED DESIRE LBT,2009,,,
STREETCAR,,,theater/streetcar3.png,theater/streetcar3.gif,Sketchup Detail,A STREETCAR NAMED DESIRE LBT,2009,,,
STREETCAR,M,,theater/streetcar4.png,theater/streetcar4.JPG,Detail on Railing,A STREETCAR NAMED DESIRE LBT,2009,,,
STREETCAR,,,theater/streetcar5.png,theater/streetcar5.JPG,Set Work in Progress,A STREETCAR NAMED DESIRE LBT,2009,,,
STREETCAR,M;D,,theater/streetcar6.png,theater/streetcar6.JPG,Finished Set,A STREETCAR NAMED DESIRE LBT,2009,,,
WEB,S,Click for article,old/spacepilot.png,old/spacepilot.png,Space Pilot (game/sold),"FLASH,ACTIONSCRIPT",2006,,,http://jayisgames.com/archives/2007/09/space_pilot.php
BORDER STUDY,S,,borders/border Study1.png,borders/Border Study1.png,Study for Website Border,"GRASSHOPPER, ILLUSTRATOR",2013,,,
BORDER STUDY,S,,borders/border Study2.png,borders/Border Study2.png,Study for Website Border,"GRASSHOPPER, ILLUSTRATOR",2013,,,
BORDER STUDY,S,,borders/border Study3.png,borders/Border Study3.png,Study for Website Border,"GRASSHOPPER, ILLUSTRATOR",2013,,,
3020,S,Click for videos,misc/perlin.png,misc/perlin.png,Block Carving via Perlin Noise (WIP),GRASSHOPPER,2013,,,http://vimeo.com/61360580
